control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed
0.496634,0.0992792,-0.00438201,0.0677897,-0.00217667,-0.00291275,0.124861,-0.00177616,0.018636,-0.00286449,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286449,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143224,0.00585004,-0.0614965,-4.67444e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.50864,0.0992471,-0.00438989,0.0676028,-0.00220881,-0.00287593,0.124723,-0.00176963,0.0186352,-0.00286414,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286449,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143224,0.00582853,-0.0614938,-4.65762e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.516549,0.0991835,-0.00440666,0.0673315,-0.00227244,-0.0028028,0.124492,-0.00175662,0.0186335,-0.00286343,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286343,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143171,0.00579633,-0.0614898,-4.68226e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.528564,0.0991519,-0.00441551,0.0672458,-0.00230359,-0.00276643,0.124416,-0.00175013,0.0186327,-0.00286307,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286343,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143171,0.00577495,-0.0614871,-4.66609e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.536605,0.0991204,-0.00442467,0.0671927,-0.0023343,-0.00273015,0.124365,-0.00174367,0.0186319,-0.0028627,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.0028627,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143135,0.00574299,-0.061483,-4.59125e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.548588,0.099089,-0.00443411,0.0671715,-0.00236461,-0.00269876,0.124338,-0.00173723,0.0186311,-0.00286234,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.0028627,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143135,0.00572176,-0.0614802,-4.57469e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.556601,0.0990257,-0.00444805,0.0669239,-0.00242506,-0.0026928,0.124148,-0.0017244,0.0186294,-0.00286159,0.00070076,-0.000117217,7.49172e-05,nan,nan,nan,-0.00286159,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143079,0.00569002,-0.0614761,-4.60221e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.568636,0.0989937,-0.00445277,0.0667017,-0.00245526,-0.00268966,0.123989,-0.00171785,0.0186285,-0.00286127,0.000700939,-0.000117263,7.49205e-05,nan,nan,nan,-0.00286159,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143079,0.00565765,-0.0614719,-4.51576e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.57672,0.0989618,-0.00445812,0.0665145,-0.00248504,-0.00268669,0.123856,-0.00171132,0.0186277,-0.00286096,0.000700939,-0.000117263,7.49205e-05,nan,nan,nan,-0.00286096,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143048,0.00564688,-0.0614705,-4.55162e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.688451,0.0989301,-0.00446409,0.0663617,-0.00251443,-0.00268386,0.123751,-0.00170481,0.0186268,-0.00286064,0.000700939,-0.000117263,7.49205e-05,nan,nan,nan,-0.00286096,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143048,0.00560397,-0.0614648,-4.51915e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.696476,0.0988708,-0.0044719,0.0660071,-0.00256562,-0.00266884,0.123391,-0.0016917,0.018625,-0.00286,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00286,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143,0.00558212,-0.0614615,-4.49972e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.708519,0.0988413,-0.00447668,0.0658795,-0.00259077,-0.00266165,0.123253,-0.0016851,0.018624,-0.00285968,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00286,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00143,0.00554948,-0.0614566,-4.43075e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.716481,0.0988119,-0.00448204,0.0657843,-0.00261561,-0.00265465,0.123142,-0.00167852,0.018623,-0.00285935,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00285935,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142967,0.0055278,-0.0614534,-4.41406e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.72849,0.0987826,-0.00448795,0.0657209,-0.00264016,-0.00264784,0.123057,-0.00167196,0.018622,-0.00285902,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00285935,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142967,0.0055062,-0.0614501,-4.39763e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.736577,0.0987243,-0.00450139,0.065685,-0.00268838,-0.00263468,0.122962,-0.00165891,0.01862,-0.00285833,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00285833,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142917,0.00547394,-0.0614452,-4.4211e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.748488,0.0986953,-0.00450891,0.065713,-0.00271207,-0.00262831,0.122951,-0.00165243,0.018619,-0.00285798,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00285833,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142917,0.00544188,-0.0614403,-4.34887e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.756505,0.0986663,-0.00451694,0.0657709,-0.00273548,-0.00262206,0.122963,-0.00164597,0.018618,-0.00285762,0.000701192,-0.000117487,7.49273e-05,nan,nan,nan,-0.00285762,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142881,0.0054206,-0.061437,-4.33296e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.768529,0.0986086,-0.00453485,0.065975,-0.00278169,-0.00261063,0.123055,-0.00163316,0.018616,-0.0028569,0.000700703,-0.000117402,7.47888e-05,nan,nan,nan,-0.00285762,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142881,0.00538895,-0.0614319,-4.35734e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.776507,0.0985799,-0.00454453,0.0661201,-0.00280441,-0.00260502,0.123134,-0.0016268,0.018615,-0.00285653,0.000700703,-0.000117402,7.47888e-05,nan,nan,nan,-0.0028569,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142827,0.00536799,-0.0614286,-4.34222e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.89302,0.0985512,-0.00455468,0.0662934,-0.00282689,-0.00259948,0.123233,-0.00162047,0.018614,-0.00285616,0.000700703,-0.000117402,7.47888e-05,nan,nan,nan,-0.0028569,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142827,0.00534711,-0.0614252,-4.32735e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.900965,0.0985227,-0.00456529,0.0664944,-0.00284911,-0.00259399,0.123353,-0.00161417,0.0186129,-0.00285578,0.000700703,-0.000117402,7.47888e-05,nan,nan,nan,-0.00285578,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142789,0.00531592,-0.0614201,-4.25173e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.913024,0.0984657,-0.00458787,0.0669752,-0.00289245,-0.00258307,0.123667,-0.00160162,0.0186109,-0.002855,0.000700702,-0.000117403,7.47888e-05,nan,nan,nan,-0.00285578,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142789,0.00528489,-0.061415,-4.2825e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.920907,0.0984377,-0.00459216,0.0669092,-0.00291294,-0.00257082,0.12364,-0.00159538,0.0186098,-0.00285461,0.000700702,-0.000117403,7.47888e-05,nan,nan,nan,-0.002855,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.0014273,0.00526429,-0.0614115,-4.26764e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.933031,0.0984097,-0.00459699,0.0668758,-0.00293332,-0.00255877,0.123637,-0.00158897,0.0186087,-0.00285428,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.002855,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.0014273,0.00523264,-0.0614062,-4.17832e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.941025,0.0983818,-0.00460234,0.0668744,-0.00295347,-0.00254688,0.123658,-0.00158259,0.0186077,-0.00285394,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285394,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142697,0.00521163,-0.0614026,-4.16242e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
