t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0.5,0.999887,-0.0149353,-0.000389603,-0.00160211,0.0012773,-0.00282514,0.000739857,0.0455795,-0.0046005,-0.0107565,-0.00176622,0.0031734,0.0186662,0.52,40.8117,-0.0112637,-0.019505,-0.371979,0.999887,-0.014929,-0.000403682,-0.0015982,0.496673,-2.71514,-74.1243,0.0455618,-0.00456877,-0.0105698,-0.00163922,-0.00201376,-0.0568565
0.52,0.999887,-0.0149288,-0.000417078,-0.00159855,0.00180991,-0.00335777,0.00153882,0.0455931,-0.0045468,-0.0106651,-0.00166311,0.00314004,0.0186381,0.54,39.9078,0.0185035,0.0191541,-0.335101,0.999887,-0.0149198,-0.000433765,-0.00159061,6.47821,4.92025,-66.6374,0.0455764,-0.0045154,-0.0104787,-0.00152958,-0.00193004,-0.0530401
0.54,0.999887,-0.0149227,-0.000394481,-0.0015955,7.88632e-05,0.00330013,0.000207233,0.0456064,-0.00449207,-0.0105645,-0.00165961,0.00332657,0.018689,0.56,36.9075,0.0106233,-0.0125591,-0.304235,0.999887,-0.0149223,-0.000377967,-0.00159471,4.94708,-1.52125,-60.5594,0.0455898,-0.00445881,-0.0103776,-0.00154319,-0.00136042,-0.0402276
0.56,0.999888,-0.0149106,-0.000374025,-0.00159446,-0.000320613,-0.000161979,0.00047355,0.0456394,-0.00434678,-0.0102715,-0.00139135,0.00385358,0.0184985,0.58,39.931,-0.00730668,0.0270558,-0.287749,0.999887,-0.0149122,-0.000374796,-0.00159208,1.36345,6.34113,-57.1432,0.0456255,-0.00430824,-0.0100866,-0.00127234,-0.00121326,-0.0532787
0.58,0.999885,-0.015088,-0.000370391,-0.00159393,0.00247425,0.000903559,0.00100617,0.0457464,-0.0041964,-0.0101057,-0.00169799,0.00789975,0.0181109,0.6,40.6371,-0.00233132,-0.0165574,-0.30182,0.999885,-0.0150756,-0.000365817,-0.00158896,2.39314,-2.32699,-60.0881,0.0457294,-0.0041174,-0.00992455,-0.00157823,0.00268201,-0.0566675
0.6,0.999885,-0.0150801,-0.000364877,-0.00158893,0.00207389,0.00143496,0.00114298,0.0457835,-0.00414134,-0.0100869,-0.00149877,0.00810882,0.0180906,0.62,39.1261,-0.00286684,0.0150262,-0.282424,0.999885,-0.0150697,-0.000357633,-0.00158332,2.29418,3.92874,-56.1151,0.0457685,-0.00406025,-0.00990601,-0.00138526,0.00308772,-0.0502612
0.62,0.999885,-0.0150684,-0.000353517,-0.00158453,0.00300599,0.00289971,0.00100983,0.0458213,-0.00408685,-0.0100655,-0.00128347,0.00775483,0.017941,0.64,41.9681,-0.0034648,0.0224523,-0.260275,0.999885,-0.0150534,-0.000338968,-0.0015797,2.19061,5.34393,-51.6643,0.0458085,-0.0040093,-0.00988606,-0.00116575,0.00237318,-0.0624991
0.64,0.999886,-0.0150465,-0.000361962,-0.00159715,0.000475614,0.0019686,-0.00298495,0.0460476,-0.0038634,-0.00989618,-0.000640835,0.00375421,0.0184602,0.66,41.8377,0.0310228,0.0114346,-0.268674,0.999885,-0.0150441,-0.000352349,-0.00161222,9.07769,3.17747,-53.3771,0.0460412,-0.00382586,-0.00971157,-0.000520525,-0.00160294,-0.0614257
0.66,0.999885,-0.0150575,-0.000361153,-0.00162089,-0.000723769,-0.000294906,-0.00431655,0.0462249,-0.0038033,-0.00979222,-0.000470331,0.00321668,0.0184339,0.68,38.7901,0.0230179,0.00128193,-0.235635,0.999885,-0.0150611,-0.000362946,-0.00164245,7.51148,1.04566,-46.7953,0.0462202,-0.00377114,-0.00960788,-0.000359175,-0.00175384,-0.0484888
0.68,0.999885,-0.0150793,-0.000361353,-0.00161102,-0.00112324,-2.85902e-05,0.00114294,0.0463223,-0.00377522,-0.00975226,-0.000629009,0.00363628,0.0180209,0.7,39.6954,-0.0024203,0.0138037,-0.187519,0.999885,-0.0150849,-0.0003614,-0.0016053,2.46006,3.39744,-37.1355,0.046316,-0.00373886,-0.00957205,-0.000515153,-0.00145762,-0.0527523
0.7,0.999885,-0.0150806,-0.000365581,-0.00161401,-0.00019113,-0.000960698,-0.000987598,0.0463693,-0.00375777,-0.0097288,-0.000456606,0.00388964,0.018129,0.72,39.1354,0.00626804,-0.0194975,-0.220251,0.999885,-0.0150816,-0.000370457,-0.00161887,4.18507,-3.15962,-43.7816,0.0463648,-0.00371887,-0.00954751,-0.000342964,-0.00113284,-0.0502625
0.72,0.999885,-0.0150788,-0.000365472,-0.00161173,0.000607815,0.000104566,0.000343984,0.0464159,-0.00373817,-0.00970285,-0.000523236,0.00420275,0.0179649,0.74,40.8956,0.0192266,-0.0179577,-0.174563,0.999885,-0.0150757,-0.000364928,-0.00161002,6.8063,-2.9854,-34.6418,0.0464107,-0.00369614,-0.00952321,-0.000404507,-0.00104498,-0.0579134
0.74,0.999885,-0.0150756,-0.000325419,-0.00159786,0.00260518,0.000237721,-5.54946e-05,0.0466528,-0.00360675,-0.00954795,0.000654447,0.0055731,0.0170704,0.76,42.1081,-0.0157076,0.0407452,-0.190443,0.999885,-0.0150625,-0.000324255,-0.00159815,-0.209566,8.78237,-37.6408,0.0466593,-0.00355102,-0.00937725,0.000762421,0.00017095,-0.0639652
0.76,0.999885,-0.0150738,-0.000341438,-0.00160748,-0.000323203,0.00116977,0.000472882,0.0468901,-0.00343813,-0.00934158,0.000634193,0.00542883,0.0175834,0.78,40.1882,0.00919458,0.00532062,-0.190142,0.999885,-0.0150754,-0.000335551,-0.0016052,4.78359,1.70847,-37.6872,0.0468965,-0.00338384,-0.00916574,0.000742673,0.000273591,-0.0552859
0.78,0.999885,-0.0150803,-0.000336523,-0.00161238,-0.00152162,0.00130293,-0.00139133,0.0469357,-0.00340475,-0.009291,0.00079427,0.00557925,0.0176038,0.8,39.9715,0.00218301,-0.00590428,-0.187906,0.999885,-0.0150879,-0.000330101,-0.00161943,3.38808,-0.545985,-37.2723,0.0469437,-0.00334896,-0.00911496,0.000900464,0.000449602,-0.0543439
0.8,0.999885,-0.0150862,-0.000331974,-0.00160663,-0.00138847,0.00116978,0.00127183,0.0469825,-0.00336992,-0.00923797,0.00111626,0.00567598,0.0176519,0.82,42.5779,-0.00660885,-0.0017088,-0.170144,0.999885,-0.0150931,-0.000326019,-0.00160036,1.64081,0.235909,-33.7084,0.0469936,-0.00331316,-0.00906145,0.00122776,0.000209701,-0.0653817
0.82,0.999885,-0.0150702,-0.000344335,-0.00157935,0.00220551,-0.00229064,0.000605978,0.0473987,-0.00318553,-0.00903284,0.00179969,0.00507222,0.0169987,0.84,42.6327,0.0172777,0.0160996,-0.169271,0.999885,-0.0150591,-0.000355759,-0.00157614,6.40809,3.80406,-33.4871,0.0474167,-0.00313481,-0.00886286,0.00191597,-0.000395268,-0.066268
0.84,0.999885,-0.015075,-0.00035539,-0.00156976,-0.000857118,-0.00149169,0.000605989,0.0475181,-0.00313888,-0.00898627,0.00191334,0.00506214,0.0163266,0.86,39.855,0.00870984,0.0135598,-0.181217,0.999885,-0.0150793,-0.000362795,-0.00156662,4.68932,3.33182,-35.885,0.0475372,-0.00308826,-0.008823,0.00202585,-5.0786e-05,-0.0551256
0.86,0.999885,-0.0150705,-0.000362593,-0.00157029,0.0012734,-0.00175801,-0.000326124,0.0475769,-0.00311583,-0.00896139,0.00196137,0.00496387,0.0162972,0.88,41.9811,0.0174072,0.0116578,-0.129413,0.999885,-0.0150642,-0.000371417,-0.00157179,6.45609,2.79933,-25.5318,0.0475966,-0.00306619,-0.00879842,0.00208245,-0.000420197,-0.064198
